Nafn,ID,Starfsheiti,Sveitarfelag,Fornafn,Eftirnafn,Heimasimi,Vinnusimi,Farsimi,Notendanafn,Deild
Vilhjalmur Andri Kjartansson,7418,haskolanemi,Reykjavik,Vilhjalmur Andri,Kjartansson,+354 555-3115,+354 567-8397,+354 867-1577,VilKja,Framleidsludeild
Vilhjalmur Sigurdur Petursson,2699,velvirki,Reykjavik,Vilhjalmur Sigurdur,Petursson,+354 555-9909,+354 567-9232,+354 867-3499,VilPet,Framleidsludeild
Vilhjalmur t. a. Vilhjalmsson,3183,logfraedingur,Reykjavik,Vilhjalmur t.,Vilhjalmsson,+354 555-6644,+354 567-9237,+354 867-7397,VilVil,Framleidsludeild
Vilhjalmur torsteinsson,2325,stjornarformadur CCP,Reykjavik,Vilhjalmur,torsteinsson,+354 555-8537,+354 567-9017,+354 867-6552,Viltor,Framleidsludeild
torbergur torsson,6483,hagfraedingur,Reykjavik,torbergur,torsson,+354 555-4623,+354 567-8624,+354 867-8925,tortor,Framleidsludeild
torfinnur omarsson,2809,ritstjori,Reykjavik,torfinnur,omarsson,+354 555-6519,+354 567-8068,+354 867-5766,toroma,Framleidsludeild
torgeir Tryggvason,8969,texta- og hugmyndasmidur,Reykjavik,torgeir,Tryggvason,+354 555-4675,+354 567-8700,+354 867-4649,torTry,Framleidsludeild
torkell Helgason,2853,staerdfraedingur,Svf. alftanesi,torkell,Helgason,+354 555-7055,+354 567-9418,+354 867-9883,torHel,Framleidsludeild
torsteinn Arnalds,2358,verkfraedingur,Reykjavik,torsteinn,Arnalds,+354 555-8494,+354 567-9195,+354 867-4419,torArn,Framleidsludeild
torsteinn Bardason,2501,framhaldsskolakennari,Reykjavik,torsteinn,Bardason,+354 555-9786,+354 567-8840,+354 867-3568,torBar,Framleidsludeild
torsteinn Hilmarsson,3678,heimspekingur,Reykjavik,torsteinn,Hilmarsson,+354 555-6858,+354 567-8273,+354 867-5995,torHil,Framleidsludeild
torsteinn Ingimarsson,2457,atvinnufulltrui Kopavogsbaejar,Kopavogi,torsteinn,Ingimarsson,+354 555-4896,+354 567-9603,+354 867-6975,torIng,Framleidsludeild
torsteinn Jonsson,5746,velvirki,Reykjavik,torsteinn,Jonsson,+354 555-1587,+354 567-9333,+354 867-3104,torJon,Framleidsludeild
torsteinn Vidar Sigurdsson,2798,malarameistari,Reykjavik,torsteinn Vidar,Sigurdsson,+354 555-5408,+354 567-9108,+354 867-1869,torSig,Framleidsludeild
torvaldur Gylfason,3403,professor,Reykjavik,torvaldur,Gylfason,+354 555-7163,+354 567-8859,+354 867-6157,torGyl,Framleidsludeild
torvaldur Hjaltason,9607,verslunarstjori vidskiptafraedingur,Reykjavik,torvaldur,Hjaltason,+354 555-2066,+354 567-8942,+354 867-2872,torHja,Framleidsludeild
torvaldur Hrafn Yngvason,5372,logfraedingur fulltrui,Reykjavik,torvaldur Hrafn,Yngvason,+354 555-8663,+354 567-8817,+354 867-2037,torYng,Framleidsludeild
tor Gislason,4492,verkefnastjori Reykjavikurdeild Rauda kross islands,Hafnarfirdi,tor,Gislason,+354 555-5881,+354 567-8443,+354 867-6682,torGis,Framleidsludeild
tor Ludwig Stiefel,9827,listamadur,Reykjavik,tor Ludwig,Stiefel,+354 555-6710,+354 567-9547,+354 867-2941,torSti,Framleidsludeild
torbjorn Sigurdsson,8826,rannsoknarlogreglumadur,Reykjavik,torbjorn,Sigurdsson,+354 555-4745,+354 567-9648,+354 867-5090,torbSig,Framleidsludeild
tordur Eytorsson,3172,nemi,Reykjavik,tordur,Eytorsson,+354 555-5092,+354 567-9044,+354 867-3982,torEyt,Framleidsludeild
tordur Eyfjord Halldorsson,8529,starfar sjalfstaett,Reykjanesbae,tordur Eyfjord,Halldorsson,+354 555-1259,+354 567-8631,+354 867-1435,torHal,Framleidsludeild
tordur Mar Jonsson,7594,logfraedingur,Kopavogi,tordur Mar,Jonsson,+354 555-7379,+354 567-9388,+354 867-8393,tormJon,Framleidsludeild
torgnyr toroddsen,7836,fristundaleidbeinandi,Reykjavik,torgnyr,toroddsen,+354 555-1563,+354 567-8772,+354 867-4195,torto,Framleidsludeild
torhildur torleifsdottir,5196,leikstjori,Reykjavik,torhildur,torleifsdottir,+354 555-7652,+354 567-8349,+354 867-9422,torhtor,Framleidsludeild
torir Steingrimsson,3469,rannsoknarlogreglumadur,Kopavogi,torir,Steingrimsson,+354 555-9046,+354 567-9022,+354 867-6595,torSte,Framleidsludeild
torir Saemundsson,6648,leikari,Reykjavik,torir,Saemundsson,+354 555-4693,+354 567-8607,+354 867-4187,torSaem,Framleidsludeild
torir Jokull torsteinsson,5218,prestur,Mosfellsbae,torir Jokull,torsteinsson,+354 555-2009,+354 567-9271,+354 867-8569,torJtor,Framleidsludeild
torolfur Sveinsson,2567,bondi,Borgarbyggd,torolfur,Sveinsson,+354 555-8731,+354 567-8573,+354 867-5401,torSve,Framleidsludeild
torunn Gudmundsdottir,2413,sagnfraedingur,Reykjavik,torunn,Gudmundsdottir,+354 555-2103,+354 567-8537,+354 867-9994,torGud,Framleidsludeild
torunn Halfdanardottir,5152,kerfisfraedingur,Fljotsdalsheradi,torunn,Halfdanardottir,+354 555-3584,+354 567-8842,+354 867-7313,toruHal,Framleidsludeild
torunn Hjartardottir,6956,myndlistarmadur lesari,Reykjavik,torunn,Hjartardottir,+354 555-5345,+354 567-8154,+354 867-4527,torHjar,Framleidsludeild
torunn Hilda Jonasdottir,3601,deildarstjori,Reykjavik,torunn Hilda,Jonasdottir,+354 555-2411,+354 567-8884,+354 867-7766,torHJon,Framleidsludeild
torunn M.J.H. olafsdottir,8694,sjukralidi,Reykjavik,torunn M.J.H.,olafsdottir,+354 555-8679,+354 567-9518,+354 867-5688,torola,Framleidsludeild
aegir Bjorgvinsson,2743,verkstjori,Hafnarfirdi,aegir,Bjorgvinsson,+354 555-3981,+354 567-8901,+354 867-1259,aegiBjo,Framleidsludeild
aegir Geirdal Gislason,7363,atvinnulaus oryggisvordur,Svf. Vogum,aegir Geirdal,Gislason,+354 555-5318,+354 567-9931,+354 867-4786,aegiGis,Framleidsludeild
aegir orn Sveinsson,8903,tolvunarfraedingur,Kopavogi,aegir orn,Sveinsson,+354 555-9594,+354 567-9731,+354 867-4550,aegiSve,Framleidsludeild
orn Reykdal Ingolfsson,4514,Bifvelavirki,Mosfellsbae,orn Reykdal,Ingolfsson,+354 555-1487,+354 567-8415,+354 867-2106,ornIng,Framleidsludeild
orn Bardur Jonsson,8353,soknarprestur,Reykjavik,orn Bardur,Jonsson,+354 555-8109,+354 567-9962,+354 867-9313,ornJon,Framleidsludeild
orn Sigurdsson,2347,arkitekt,Reykjavik,orn,Sigurdsson,+354 555-2478,+354 567-9276,+354 867-6540,ornSig,Framleidsludeild
Adolf Fridriksson,9057,forstodumadur,Reykjavik,Adolf,Fridriksson,+354 555-6134,+354 567-8221,+354 867-8677,AdoFri,Framleidsludeild
Adalbjorg Hlin Brynjolfsdottir,6461,vidskiptafraedingur,Reykjavik,Adalbjorg Hlin,Brynjolfsdottir,+354 555-3503,+354 567-9993,+354 867-8841,AdaBry,Framleidsludeild
Adalbjorg Ros oskarsdottir,4591,ritari,Reykjavik,Adalbjorg Ros,oskarsdottir,+354 555-6008,+354 567-9215,+354 867-4703,Adaosk,Yfirstjorn
Adalheidur Johannsdottir,8298,professor,Reykjavik,Adalheidur,Johannsdottir,+354 555-1274,+354 567-8223,+354 867-2671,AdaJoh,Yfirstjorn
Adalsteinn tordarson,3546,efnaverkfraedingur,Reykjavik,Adalsteinn,tordarson,+354 555-7753,+354 567-9443,+354 867-1912,Adator,Yfirstjorn
Agnar Jon Egilsson,9816,leikstjori,Reykjavik,Agnar Jon,Egilsson,+354 555-2264,+354 567-9722,+354 867-9757,AgnEgi,Yfirstjorn
Agnar Kristjan torsteinsson,5702,radgjafi i notendatjonustu,Reykjavik,Agnar Kristjan,torsteinsson,+354 555-2466,+354 567-9395,+354 867-2539,Agntor,Yfirstjorn
Alda Davidsdottir,2765,framkvaemdastjori,Vesturbyggd,Alda,Davidsdottir,+354 555-8942,+354 567-9144,+354 867-3780,AldDav,Yfirstjorn
Alfred Hafsteinsson,2589,velfraedingur,Reykjavik,Alfred,Hafsteinsson,+354 555-3738,+354 567-8131,+354 867-8267,AlfHaf,Yfirstjorn
Alvar oskarsson,6549,eldri borgari,Reykjavik,Alvar,oskarsson,+354 555-4510,+354 567-8101,+354 867-4149,Alvosk,Yfirstjorn
